,Class,plate_length,plate_width,plate_depth,screw_length,screw_dia,screw_distance
354,1,220,20,3,60,3,10
355,1,220,20,3,60,3,20
356,2,220,20,3,60,5,10
357,1,220,20,3,60,5,20
358,2,220,20,3,60,7,10
359,2,220,20,3,60,7,20
360,1,220,20,5,20,1,10
361,1,220,20,5,20,1,20
362,1,220,20,5,20,3,10
363,1,220,20,5,20,3,20
364,1,220,20,5,20,5,10
365,1,220,20,5,20,5,20
366,1,220,20,5,20,7,10
367,1,220,20,5,20,7,20
368,1,220,20,5,40,1,10
369,1,220,20,5,40,1,20
370,1,220,20,5,40,3,10
371,1,220,20,5,40,3,20
372,1,220,20,5,40,5,10
373,1,220,20,5,40,5,20
374,1,220,20,5,40,7,10
375,1,220,20,5,40,7,20
376,1,220,20,5,60,1,10
377,1,220,20,5,60,1,20
378,1,220,20,5,60,3,10
379,1,220,20,5,60,3,20
380,2,220,20,5,60,5,10
381,1,220,20,5,60,5,20
382,2,220,20,5,60,7,10
383,2,220,20,5,60,7,20
384,1,260,10,3,20,1,10
385,1,260,10,3,20,1,20
386,1,260,10,3,20,3,10
387,1,260,10,3,20,3,20
388,1,260,10,3,20,5,10
389,1,260,10,3,20,5,20
390,1,260,10,3,20,7,10
391,1,260,10,3,20,7,20
392,2,260,10,3,40,1,10
393,1,260,10,3,40,1,20
394,2,260,10,3,40,3,10
395,1,260,10,3,40,3,20
396,2,260,10,3,40,5,10
397,1,260,10,3,40,5,20
398,2,260,10,3,40,7,10
399,2,260,10,3,40,7,20
400,2,260,10,3,60,1,10
401,1,260,10,3,60,1,20
402,2,260,10,3,60,3,10
403,1,260,10,3,60,3,20
404,2,260,10,3,60,5,10
405,2,260,10,3,60,5,20
406,2,260,10,3,60,7,10
407,2,260,10,3,60,7,20
408,1,260,10,5,20,1,10
409,1,260,10,5,20,1,20
410,1,260,10,5,20,3,10
411,1,260,10,5,20,3,20
412,1,260,10,5,20,5,10
413,1,260,10,5,20,5,20
414,1,260,10,5,20,7,10
415,1,260,10,5,20,7,20
416,2,260,10,5,40,1,10
417,1,260,10,5,40,1,20
418,2,260,10,5,40,3,10
419,1,260,10,5,40,3,20
420,2,260,10,5,40,5,10
421,1,260,10,5,40,5,20
422,2,260,10,5,40,7,10
423,2,260,10,5,40,7,20
424,2,260,10,5,60,1,10
425,1,260,10,5,60,1,20
426,2,260,10,5,60,3,10
427,1,260,10,5,60,3,20
428,2,260,10,5,60,5,10
429,2,260,10,5,60,5,20
430,2,260,10,5,60,7,10
431,2,260,10,5,60,7,20
432,1,260,20,3,20,1,10
433,1,260,20,3,20,1,20
434,1,260,20,3,20,3,10
435,1,260,20,3,20,3,20
436,1,260,20,3,20,5,10
437,1,260,20,3,20,5,20
438,1,260,20,3,20,7,10
439,1,260,20,3,20,7,20
440,1,260,20,3,40,1,10
441,1,260,20,3,40,1,20
442,1,260,20,3,40,3,10
443,1,260,20,3,40,3,20
444,1,260,20,3,40,5,10
445,1,260,20,3,40,5,20
446,2,260,20,3,40,7,10
447,2,260,20,3,40,7,20
448,1,260,20,3,60,1,10
449,1,260,20,3,60,1,20
450,2,260,20,3,60,3,10
451,1,260,20,3,60,3,20
452,2,260,20,3,60,5,10
453,1,260,20,3,60,5,20
454,2,260,20,3,60,7,10
455,2,260,20,3,60,7,20
456,1,260,20,5,20,1,10
457,1,260,20,5,20,1,20
458,1,260,20,5,20,3,10
459,1,260,20,5,20,3,20
460,1,260,20,5,20,5,10
461,1,260,20,5,20,5,20
462,1,260,20,5,20,7,10
463,1,260,20,5,20,7,20
464,1,260,20,5,40,1,10
465,1,260,20,5,40,1,20
466,1,260,20,5,40,3,10
467,1,260,20,5,40,3,20
468,1,260,20,5,40,5,10
469,1,260,20,5,40,5,20
470,2,260,20,5,40,7,10
471,2,260,20,5,40,7,20
472,1,260,20,5,60,1,10
473,1,260,20,5,60,1,20
474,1,260,20,5,60,3,10
475,1,260,20,5,60,3,20
476,2,260,20,5,60,5,10
477,1,260,20,5,60,5,20
478,2,260,20,5,60,7,10
479,2,260,20,5,60,7,20
480,1,300,10,3,20,1,10
481,1,300,10,3,20,1,20
482,1,300,10,3,20,3,10
483,1,300,10,3,20,3,20
484,2,300,10,3,20,5,10
485,1,300,10,3,20,5,20
486,2,300,10,3,20,7,10
487,1,300,10,3,20,7,20
488,2,300,10,3,40,1,10
489,1,300,10,3,40,1,20
490,2,300,10,3,40,3,10
491,1,300,10,3,40,3,20
492,2,300,10,3,40,5,10
493,2,300,10,3,40,5,20
494,2,300,10,3,40,7,10
495,2,300,10,3,40,7,20
496,2,300,10,3,60,1,10
497,1,300,10,3,60,1,20
498,2,300,10,3,60,3,10
499,1,300,10,3,60,3,20
500,2,300,10,3,60,5,10
501,2,300,10,3,60,5,20
502,2,300,10,3,60,7,10
503,2,300,10,3,60,7,20
504,1,300,10,5,20,1,10
505,1,300,10,5,20,1,20
506,1,300,10,5,20,3,10
507,1,300,10,5,20,3,20
508,1,300,10,5,20,5,10
509,1,300,10,5,20,5,20
510,2,300,10,5,20,7,10
511,1,300,10,5,20,7,20
512,2,300,10,5,40,1,10
513,1,300,10,5,40,1,20
514,2,300,10,5,40,3,10
515,1,300,10,5,40,3,20
516,2,300,10,5,40,5,10
517,2,300,10,5,40,5,20
518,2,300,10,5,40,7,10
519,2,300,10,5,40,7,20
520,2,300,10,5,60,1,10
521,1,300,10,5,60,1,20
522,2,300,10,5,60,3,10
523,1,300,10,5,60,3,20
524,2,300,10,5,60,5,10
525,2,300,10,5,60,5,20
526,2,300,10,5,60,7,10
527,2,300,10,5,60,7,20
528,1,300,20,3,20,1,10
529,1,300,20,3,20,1,20
530,2,300,20,3,20,3,10
531,1,300,20,3,20,3,20
532,2,300,20,3,20,5,10
533,1,300,20,3,20,5,20
534,2,300,20,3,20,7,10
535,1,300,20,3,20,7,20
536,2,300,20,3,40,1,10
537,1,300,20,3,40,1,20
538,2,300,20,3,40,3,10
539,1,300,20,3,40,3,20
540,2,300,20,3,40,5,10
541,1,300,20,3,40,5,20
542,2,300,20,3,40,7,10
543,2,300,20,3,40,7,20
544,2,300,20,3,60,1,10
545,1,300,20,3,60,1,20
546,2,300,20,3,60,3,10
547,1,300,20,3,60,3,20
548,2,300,20,3,60,5,10
549,1,300,20,3,60,5,20
550,2,300,20,3,60,7,10
551,2,300,20,3,60,7,20
552,1,300,20,5,20,1,10
553,1,300,20,5,20,1,20
554,2,300,20,5,20,3,10
555,1,300,20,5,20,3,20
556,2,300,20,5,20,5,10
557,1,300,20,5,20,5,20
558,2,300,20,5,20,7,10
559,2,300,20,5,20,7,20
560,2,300,20,5,40,1,10
561,1,300,20,5,40,1,20
562,2,300,20,5,40,3,10
563,1,300,20,5,40,3,20
564,2,300,20,5,40,5,10
565,1,300,20,5,40,5,20
566,2,300,20,5,40,7,10
567,2,300,20,5,40,7,20
568,2,300,20,5,60,1,10
569,1,300,20,5,60,1,20
570,2,300,20,5,60,3,10
571,1,300,20,5,60,3,20
572,2,300,20,5,60,5,10
573,1,300,20,5,60,5,20
574,2,300,20,5,60,7,10
575,2,300,20,5,60,7,20
